항목,지역,연도,환자수,단위
감기,대구,2023-08,118275,명
감기,대구,2023-09,132026,명
감기,대구,2023-10,161887,명
감기,대구,2023-11,183141,명
감기,대구,2023-12,195810,명
감기,대구,2024-01,167507,명
감기,대구,2024-02,141672,명
감기,대구,2024-03,150867,명
감기,대구,2024-04,152510,명
감기,대구,2024-05,135420,명
감기,대구,2024-06,101091,명
감기,광주,2021-06,47984,명
감기,광주,2021-07,43193,명
감기,광주,2021-08,36465,명
감기,광주,2021-09,60114,명
감기,광주,2021-10,70210,명
감기,광주,2021-11,88047,명
감기,광주,2021-12,66834,명
감기,광주,2022-01,63006,명
감기,광주,2022-02,68707,명
감기,광주,2022-03,121651,명
감기,광주,2022-04,95514,명
감기,광주,2022-05,70383,명
감기,광주,2022-06,60589,명
감기,광주,2022-07,68203,명
감기,광주,2022-08,79632,명
감기,광주,2022-09,77682,명
감기,광주,2022-10,91253,명
감기,광주,2022-11,108173,명
감기,광주,2022-12,124686,명
감기,광주,2023-01,101950,명
감기,광주,2023-02,88071,명
감기,광주,2023-03,118432,명
감기,광주,2023-04,130839,명
감기,광주,2023-05,120541,명
감기,광주,2023-06,88147,명
감기,광주,2023-07,97524,명
감기,광주,2023-08,91198,명
감기,광주,2023-09,93618,명
감기,광주,2023-10,122707,명
감기,광주,2023-11,141558,명
감기,광주,2023-12,153604,명
감기,광주,2024-01,137591,명
감기,광주,2024-02,100968,명
감기,광주,2024-03,122326,명
감기,광주,2024-04,118869,명
감기,광주,2024-05,108769,명
감기,광주,2024-06,79149,명
감기,대전,2021-06,44705,명
감기,대전,2021-07,34801,명
감기,대전,2021-08,30501,명
감기,대전,2021-09,47605,명
감기,대전,2021-10,59506,명
감기,대전,2021-11,79435,명
감기,대전,2021-12,53575,명
감기,대전,2022-01,51137,명
감기,대전,2022-02,81035,명
감기,대전,2022-03,128976,명
감기,대전,2022-04,87029,명
감기,대전,2022-05,60772,명
감기,대전,2022-06,50257,명
감기,대전,2022-07,65029,명
감기,대전,2022-08,78172,명
감기,대전,2022-09,73459,명
감기,대전,2022-10,83441,명
감기,대전,2022-11,99440,명
감기,대전,2022-12,114731,명
감기,대전,2023-01,92345,명
감기,대전,2023-02,79191,명
감기,대전,2023-03,105120,명
감기,대전,2023-04,122106,명
감기,대전,2023-05,111036,명
감기,대전,2023-06,78499,명
감기,대전,2023-07,89224,명
감기,대전,2023-08,84799,명
감기,대전,2023-09,89591,명
감기,대전,2023-10,116213,명
감기,대전,2023-11,130305,명
감기,대전,2023-12,136924,명
감기,대전,2024-01,115887,명
감기,대전,2024-02,96184,명
감기,대전,2024-03,104967,명
감기,대전,2024-04,103419,명
감기,대전,2024-05,92643,명
감기,대전,2024-06,72023,명
감기,울산,2021-06,32424,명
감기,울산,2021-07,29667,명
감기,울산,2021-08,26091,명
감기,울산,2021-09,35134,명
감기,울산,2021-10,51009,명
감기,울산,2021-11,61546,명
감기,울산,2021-12,47222,명
감기,울산,2022-01,45429,명
감기,울산,2022-02,62246,명
감기,울산,2022-03,97260,명
감기,울산,2022-04,62553,명
감기,울산,2022-05,43970,명
감기,울산,2022-06,36430,명
감기,울산,2022-07,47644,명
감기,울산,2022-08,53101,명
감기,울산,2022-09,47560,명
감기,울산,2022-10,57553,명
감기,울산,2022-11,75730,명
감기,울산,2022-12,89984,명
감기,울산,2023-01,68269,명
감기,울산,2023-02,58183,명
감기,울산,2023-03,78124,명
감기,울산,2023-04,84911,명
감기,울산,2023-05,80792,명
감기,울산,2023-06,64391,명
감기,울산,2023-07,71221,명
감기,울산,2023-08,58069,명
감기,울산,2023-09,65181,명
감기,울산,2023-10,79302,명
감기,울산,2023-11,99348,명
감기,울산,2023-12,105248,명
감기,울산,2024-01,91071,명
감기,울산,2024-02,68039,명
감기,울산,2024-03,79880,명
감기,울산,2024-04,75625,명
감기,울산,2024-05,70146,명
감기,울산,2024-06,54344,명
감기,경기,2021-06,383312,명
감기,경기,2021-07,286049,명
감기,경기,2021-08,253105,명
감기,경기,2021-09,402798,명
감기,경기,2021-10,495762,명
감기,경기,2021-11,702886,명
감기,경기,2021-12,535399,명
